
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198701  -3.68  -0.55  -9.40  -1.35  -7.05 -99.99 -99.99   1.59  -5.28  -8.15
198702  -0.67  -1.31   0.87   2.95  -1.14 -99.99 -99.99  -3.05   0.16   4.04
198703  -1.82  -0.92  -3.74  -3.46  -2.57 -99.99 -99.99   0.48  -1.71  -3.23
198704  -0.70   0.48  -1.83   2.43  -1.90 -99.99 -99.99  -0.45  -1.31  -0.17
198705  -7.28  -4.79 -10.91  -1.95 -10.43 -99.99 -99.99  -5.82  -5.93  -7.56
198706   0.42  -1.75   2.15   3.46   2.31 -99.99 -99.99   0.63  -2.03  -9.73
198707  15.00  13.00  16.33  25.62  15.74 -99.99 -99.99  11.50  25.41  21.54
198708  -0.51   0.11  -0.40  -3.96  -0.81 -99.99 -99.99   0.00  -1.25  -3.50
198709   4.75   3.48   5.59   5.50   5.56 -99.99 -99.99   3.65   7.96  -0.07
198710 -10.17  -6.30 -14.60 -12.87 -12.31 -99.99 -99.99  -7.18 -14.98  -8.09
198711   1.60   1.30  -1.18   3.39   1.26 -99.99 -99.99   4.05  -4.27   6.13
198712   6.33  11.03   0.94   5.59   3.76 -99.99 -99.99   8.19  -1.72  11.71
198801 -14.38 -12.94 -15.67 -14.22 -18.78 -99.99 -99.99 -13.34 -16.56 -18.83
198802   0.62  -0.75   2.68   2.85   3.58 -99.99 -99.99  -0.95   6.33  -1.09
198803   4.14   5.00   3.48   6.03   3.55 -99.99 -99.99   5.31   3.42  -2.13
198804   1.46  -1.16   3.03   7.98   3.52 -99.99 -99.99   0.64   6.55  -6.44
198805  -5.27  -4.81  -7.61  -5.48  -7.89 -99.99 -99.99  -3.93  -8.94  -9.74
198806  -2.01  -3.52  -0.63   2.00  -0.86 -99.99 -99.99  -3.27   0.12  -6.78
198807   2.07   0.07   4.62  12.12   6.06 -99.99 -99.99  -1.99  15.64  -0.33
198808   2.71   2.50   4.62   1.35   4.30 -99.99 -99.99   0.94   7.97   9.72
198809   1.89   1.49   2.79   4.84   3.88 -99.99 -99.99   0.28   4.78  -4.78
198810  11.11   7.12  15.00  10.27  17.20 -99.99 -99.99   7.51  19.69   5.47
198811   3.47   4.88   4.13   4.61   3.28 -99.99 -99.99   3.20   5.28   2.87
198812  -3.09  -2.88  -3.98  -2.55  -4.66 -99.99 -99.99  -1.38  -5.33  -3.98
198901  -1.32  -5.41   2.85  -3.16  -1.13  -4.14   2.93  -2.20   1.31  -1.03
198902   6.11   4.29   6.35   6.16   5.17   4.76   6.48   4.03   6.84   0.42
198903   7.17  11.10   4.95   0.36   8.85   3.30  11.04   6.33   2.67   3.67
198904   9.21   9.64   7.82  13.46   7.23  14.14  11.39  12.32   3.41  21.25
198905  -5.75 -11.57  -1.52  -2.35  -8.19  -1.15  -5.10  -2.19  -3.87 -12.68
198906  12.18   7.59  20.41  17.00  16.40   9.79  14.79   8.91  26.38  13.90
198907   8.28   6.83  11.24   5.50  12.04   4.07   6.97   6.37  13.54  31.54
198908  13.49  20.14  13.33   4.31  17.78   3.27  10.20  13.28  12.70   2.41
198909  13.95   9.54  20.59  12.26  16.05  11.69  13.07  10.49  28.68 -14.85
198910  -6.38  -6.21  -4.37  -7.76  -3.76 -10.31  -6.37  -9.43  -3.83 -15.57
198911  -1.67  -0.72  -4.63   1.28  -2.98   4.86  -6.69  -0.40  -5.14  -0.80
198912  22.95  24.44  28.51  15.93  29.50  11.09  29.80  19.00  28.86   6.50
199001  19.87  23.13  18.22  21.21  22.34  22.42  17.58  22.27  19.49  34.81
199002  16.65  39.19   4.99  21.66  10.15  27.29   8.43  33.92   2.02   2.28
199003   2.31   4.58  -2.38   8.40  -1.51  19.91  -1.93   5.65  -3.10  24.77
199004 -12.47  -9.04 -14.57 -11.70 -15.73 -12.68 -11.01 -10.06 -14.97  -5.07
199005  -2.62  -4.09   2.83  -4.99  -0.10  -3.49  -3.44  -4.99   3.91  -1.17
199006   9.82   4.10  14.52   5.22  16.10   5.45   2.91   5.52  15.97  -3.18
199007  14.14  13.51  21.57  13.58  16.28   9.82  20.17  11.36  19.95   9.76
199008 -15.55 -15.77 -11.50 -17.87 -14.96 -14.59 -22.11 -14.75 -11.18 -10.96
199009 -22.88 -18.21 -25.14 -25.69 -25.02 -19.24 -21.12 -18.67 -24.56 -25.74
199010  13.19   9.90  21.95  10.14  14.17   7.37  19.52   9.45  22.61  11.82
199011   0.23   2.36   1.88  -0.21  -1.35   1.32  -0.89   1.92   3.29   0.52
199012  -0.83   0.81  -3.54   0.08  -2.05  -2.10   0.03   0.41  -3.53  -0.83
199101  -2.37  -6.57  -0.72  -4.99  -4.76   5.01  -0.87  -0.77   1.06  -0.96
199102  12.99  19.95  12.09  16.53  16.72   6.82  11.36  11.95  11.34  22.53
199103  -9.23 -10.12  -9.25  -3.23 -10.39  -8.78  -8.98  -6.46  -8.86  -6.54
199104   2.65   4.05   1.38   1.66   2.61   1.46   6.23   0.89   0.36   0.75
199105  -3.12  -1.57  -1.91  -4.02  -3.81  -2.47  -2.93  -2.37  -3.34  -4.58
199106  -9.85 -10.70  -9.31 -10.22  -9.00  -9.18  -9.78  -9.37  -9.22 -10.34
199107  -0.67  -0.37  -0.80   2.90  -4.35   4.74   1.23   3.21  -0.01  -2.49
199108  -0.93   0.28  -2.04  -0.16  -2.83   5.45  -1.47   0.30  -2.36  -4.37
199109   1.46   4.66  -4.33   2.02  -1.86   5.20   3.20   3.04  -3.01   0.31
199110 -16.31 -13.65 -17.08 -19.49 -16.23  -9.74 -21.11 -14.22 -16.98 -29.26
199111   8.82   4.30  10.62  12.46   5.08   6.61  11.90  10.10  10.51   9.92
199112  -1.58   0.02   0.27  -4.90   0.62   2.72  -6.51  -0.20  -2.44  -7.32
199201   2.83   6.12   3.40   9.21   1.85   1.87   7.34   3.06   5.73  -2.44
199202   5.66   9.72   7.21   7.41   9.23   3.63   5.21  12.27   7.82   1.52
199203  -4.98  -7.62  -2.53  -9.97  -4.60  -6.35  -5.67  -6.66  -4.35  -2.61
199204  -4.02  -4.44  -5.11  -1.11  -5.62  -7.31  -4.56  -4.01  -6.92   1.62
199205   2.75   4.43   1.64   4.31   2.95   5.09   4.80   5.52   3.22  -0.46
199206   1.62   1.30   1.36  -1.24   0.62   1.03  -0.20  -1.14   0.85   6.03
199207  -9.74 -13.78 -12.71  -8.53 -12.18 -13.79 -13.05 -11.59 -12.02  -0.18
199208  -3.46   0.88  -8.43   4.46  -6.06   2.22  -6.69  -0.55 -10.23  -3.77
199209   5.44   3.84   5.50   2.22   3.31   4.56   7.79   1.85   6.79   6.10
199210  -6.88  -5.14  -6.10 -11.45  -5.63 -10.61  -9.42  -6.94  -5.64  -4.22
199211  -6.98  -6.16 -11.92  -4.62  -9.34  -6.98  -9.11  -5.07 -10.85  -3.88
199212   0.76  -4.28   1.15  -4.60  -0.49  -5.54  -0.07  -3.24   1.31   7.08
199301   0.18   3.11  -1.85   0.99  -1.82  -0.82   0.80   1.78  -1.67   1.03
199302   4.54   6.56   1.78  -0.30   4.97   2.22   2.57   9.46   2.24   7.11
